Name,Price,Link,Img_url
"풀무원 직화 짜장면 180g (6인분) / 코스트코 간식 아이스박스 무료포장, 6개","19,990원",https://www.coupang.com/vp/products/8289208837?itemId=12455010041&vendorItemId=79724062853&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=53&rank=53,
"중식대가 여경래 짜장면 2인분 (냉동), 1.08kg, 2개","19,960원",https://www.coupang.com/vp/products/9009414770?itemId=26417162935&vendorItemId=93393135439&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=54&rank=54,
"소소락 짜짱면 6인분, 1kg, 1세트","9,900원",https://www.coupang.com/vp/products/9053366515?itemId=26573936896&vendorItemId=85871744800&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=55&rank=55,
"제일제당 [제일제당] [CJ] 중화요리 간짜장 2인분 630G, 3개","25,750원",https://www.coupang.com/vp/products/5387532300?itemId=8023359543&vendorItemId=85778354882&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=56&rank=56,
짜장면 밀키트 5인분 5개,"6,950원",https://www.coupang.com/vp/products/7340895160?itemId=18867214865&vendorItemId=85996050969&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=57&rank=57,
"짜파게티 사천 137g, 8개","8,480원",https://www.coupang.com/vp/products/6162108553?itemId=17909999849&vendorItemId=85072688904&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=58&rank=58,
짜장면 5인분 + 짜장소스 1kg,"12,900원",https://www.coupang.com/vp/products/6948457282?itemId=16872996710&vendorItemId=84051593569&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=59&rank=59,
"식물성지구식단 유니짜장면 2인분(620g) x 4봉, 유니짜장면 4개","30,400원",https://www.coupang.com/vp/products/7807647755?itemId=24947865818&vendorItemId=91953810127&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=60&rank=60,
"더미식 유니자장면 297g, 12개","51,000원",https://www.coupang.com/vp/products/7145401079?itemId=25467545086&vendorItemId=92621247357&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=61&rank=61,
"짜파게티 더 블랙 116g, 12개","18,756원",https://www.coupang.com/vp/products/8059685237?itemId=22900626540&vendorItemId=89676890672&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=62&rank=62,
"더미식 유니자장면 2박스+사천자장면 2박스, 1세트","29,580원",https://www.coupang.com/vp/products/9023586148?itemId=26459591329&vendorItemId=93434921297&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=63&rank=63,
"[우정제면소] 짜장면 5인분세트 (생면1kg+짜장소스5봉), 단일상품_기타_상세페이지참조, 5세트","11,100원",https://www.coupang.com/vp/products/7522956375?itemId=19880174190&vendorItemId=85354765624&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=64&rank=64,
"삼양 이춘삼 짜장라면, 8개","9,900원",https://www.coupang.com/vp/products/7046099086?itemId=23697406698&vendorItemId=90722488368&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=65&rank=65,
"생중화면 6인분 + 짜장소스 6봉, 6개","33,860원",https://www.coupang.com/vp/products/7313100524?itemId=18739435206&vendorItemId=93106343258&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=66&rank=66,
"오뚜기 진짜장, 8개","11,360원",https://www.coupang.com/vp/products/8245814701?itemId=17546779861&vendorItemId=85192637016&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=67&rank=67,
"이거다 짜장면 5인분 세트 (짜장소스1kg+중화면5인분), 1개, 2.15kg","11,900원",https://www.coupang.com/vp/products/7712892050?itemId=20679485648&vendorItemId=87751573829&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=68&rank=68,
[더싱싱] 중화 생면 짜장면 10인분 세트(짜장면 10인분+짜장소스 10개),"20,000원",https://www.coupang.com/vp/products/8524391177?itemId=24680176316&vendorItemId=91690198765&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=69&rank=69,
"쉐프스토리 수타식 직화짜장면 (냉동), 330g, 5개","19,970원",https://www.coupang.com/vp/products/8969228060?itemId=26301408252&vendorItemId=93279149329&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=70&rank=70,
"[7인분] 10초 볶으면 끝! 명장 중화짜장면, 1개, 1.82kg","19,540원",https://www.coupang.com/vp/products/8710148892?itemId=25295416658&vendorItemId=92290750817&q=짜장면&searchId=61918e481397716&sourceType=search&itemsCount=72&searchRank=71&rank=71,
