Keyword,Rank,Name,OriginalPrice,DiscountPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
스카프,32,센티멘토 마름모 롱 스카프 심플 무지 라인 트리밍 고급스러운 봄 가을 롱 스카프 코디,,"29,800원","29,800원",판매자배송,도착 보장,Y,,"1,490원",,https://www.coupang.com/vp/products/6357078774?itemId=13402780184&vendorItemId=87639019918&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=32&rank=32,
스카프,33,바비수 쁘띠 메종도트 스카프,"24,800원","12,500원","12,500원",로켓배송,도착 보장,Y,,,,https://www.coupang.com/vp/products/318863376?itemId=1018622558&vendorItemId=5456493938&q=스카프&searchId=7eb3152b302577&sourceType=search&itemsCount=36&searchRank=33&rank=33,
키링,,"공식정품 월레스와 그로밋 미니 키링 인형 - 12cm, 1개","15,000원","7,660원","7,660원",로켓배송,도착 보장,N,,379원,,https://www.coupang.com/vp/products/8083045805?itemId=22799782546&vendorItemId=89834708873&sourceType=srp_product_ads&clickEventId=16a86100-bf83-11f0-b1a1-887035803a44&korePlacement=15&koreSubPlacement=1&clickEventId=16a86100-bf83-11f0-b1a1-887035803a44&korePlacement=15&koreSubPlacement=1,
키링,1,"버블리데이 귀여운 니트 곰돌이 키링 2종 세트, 화이트 + 블랙, 1세트",,"5,630원","5,630원",로켓배송,도착 보장,Y,,281원,,https://www.coupang.com/vp/products/8531959116?itemId=23125875018&vendorItemId=90158941490&pickType=COU_PICK&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=1&rank=1,
키링,2,"다은랜드 귀여운 곰돌이 키링 베어 열쇠고리 차키링 스트랩형 키홀더, 그린, 1개","16,800원","8,740원","8,740원",로켓배송,도착 보장,N,,437원,,https://www.coupang.com/vp/products/9122187053?itemId=26833472203&vendorItemId=86546370201&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=2&rank=2,
키링,3,"프리미엄 자동차 키링 키홀더 스트랩 가방 키링, 블랙, 1개","17,500원","10,800원","10,800원",,도착 예정,Y,,540원,,https://www.coupang.com/vp/products/8821314389?itemId=25707943798&vendorItemId=92696902425&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=3&rank=3,
키링,,"1+1 스마트키 가죽 케이스 세트 자동차 차 키 홀더 레더 지갑 스마트 차키 자동차키 키홀더 키케이스 링 열쇠 고리 키링 차키링 키지갑, A세트, 1세트, R99830A","16,100원","9,870원","9,870원",로켓배송,도착 보장,N,,494원,,https://www.coupang.com/vp/products/7944873529?itemId=21901030694&vendorItemId=88949057870&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-b3c2-676c1fc7b40c&korePlacement=15&koreSubPlacement=5&clickEventId=16a88810-bf83-11f0-b3c2-676c1fc7b40c&korePlacement=15&koreSubPlacement=5,
키링,,[메이크포켓] 스트랩키링 제작,,"2,500원","2,500원",,도착 예정,Y,,240원,,https://www.coupang.com/vp/products/132857963?itemId=390654597&vendorItemId=3950367945&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-8988-c66ebd505ed4&korePlacement=15&koreSubPlacement=6&clickEventId=16a88810-bf83-11f0-8988-c66ebd505ed4&korePlacement=15&koreSubPlacement=6,
키링,4,"랜덤 뽑기 순덕이 아크릴 키 링 35개(박스) 다이어리 핸드폰 가방 열쇠 고리 단체 선물, 1박스, 상세페이지 참조","35,000원","26,830원","26,830원",로켓배송,도착 보장,Y,,"1,341원",,https://www.coupang.com/vp/products/8032831538?itemId=22685499512&vendorItemId=89509209721&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=6&rank=6,
키링,5,"귀염뽀짝 디저트 랜덤 키링 24개(박스) 홀더 가방 열쇠 고리 친구 단체 선물, 1세트, 6종 랜덤 24개","36,000원","27,000원","27,000원",로켓배송,도착 보장,Y,,"1,350원",,https://www.coupang.com/vp/products/8904728474?itemId=26006083072&vendorItemId=92988116601&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=7&rank=7,
키링,,"애니버니 랜덤 아크릴 키 링 36개(박스) 홀더 핸드폰 가방 열쇠 고리 친구 단체 선물, 1세트","36,000원","25,380원","25,380원",로켓배송,도착 보장,Y,,"1,269원",,https://www.coupang.com/vp/products/8522456825?itemId=24673933066&vendorItemId=91684133988&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-883e-2fc122eeba12&korePlacement=15&koreSubPlacement=9&clickEventId=16a88810-bf83-11f0-883e-2fc122eeba12&korePlacement=15&koreSubPlacement=9,
키링,6,"애니버니 랜덤 아크릴 키 링 36개(박스) 홀더 핸드폰 가방 열쇠 고리 친구 단체 선물, 1세트","36,000원","25,380원","25,380원",로켓배송,도착 보장,Y,,"1,269원",,https://www.coupang.com/vp/products/8522456825?itemId=24673933066&vendorItemId=91684133988&q=키링&searchId=644b0ba012668374&sourceType=search&itemsCount=36&searchRank=9&rank=9,
키링,,"루닌 누르면 소리나는 미니곰 키링 4종, 1세트, 화이트+핑크+블루+베이지","26,900원","11,900원","11,900원",로켓배송,도착 보장,N,,595원,,https://www.coupang.com/vp/products/8541441212?itemId=24729764032&vendorItemId=91739482134&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-b333-bd806cb9fcc0&korePlacement=15&koreSubPlacement=11&clickEventId=16a88810-bf83-11f0-b333-bd806cb9fcc0&korePlacement=15&koreSubPlacement=11,
키링,,"공식정품 숀더쉽 키링 인형 - 16cm, 혼합색상, 1개","12,000원","7,780원","7,780원",로켓배송,도착 보장,N,,365원,,https://www.coupang.com/vp/products/7445270388?itemId=19369845367&vendorItemId=86482657936&sourceType=srp_product_ads&clickEventId=16a88810-bf83-11f0-ba6a-a4fb3ba9df48&korePlacement=15&koreSubPlacement=12&clickEventId=16a88810-bf83-11f0-ba6a-a4fb3ba9df48&korePlacement=15&koreSubPlacement=12,
