Keyword,Rank,Name,OriginalPrice,FinalPrice,RocketBadge,Arrival,FreeShipping,ReviewCount,Points,StockStatus,Link,ImgUrl
장우산,27,펠코스 장우산 튼튼한 대형 150,"50,000원","19,800원",,11/15(토) 도착 예정,Y,76,990원,,https://www.coupang.com/vp/products/8862974240?itemId=25845895916&vendorItemId=92832420905&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=27&rank=27,
장우산,28,"잭니클라우스 자동 스틸 폰지 골프 우산, 검정색, 1개",,"15,500원",로켓배송,내일(목) 도착 보장,Y,218,775원,,https://www.coupang.com/vp/products/8521855354?itemId=19270093787&vendorItemId=86385312299&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=28&rank=28,
장우산,29,세인트스코트 헤이즈 모던 장우산 2개,"38,000원","17,480원",판매자로켓,내일(목) 도착 보장,N,967,874원,,https://www.coupang.com/vp/products/7774164805?itemId=20996066079&vendorItemId=88060331311&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=29&rank=29,
장우산,30,코멧 베이직 자동 장우산 2p,"22,850원","15,890원",로켓배송,내일(목) 도착 보장,Y,1105,770원,,https://www.coupang.com/vp/products/7355599561?itemId=18938797459&vendorItemId=86065332615&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=30&rank=30,
장우산,31,"자동우산 장우산 골프우산 대형 고급 우산 장마 편리한휴대, 1개, 상세페이지 참조","14,900원","14,070원",,모레(금) 도착 예정,Y,,704원,,https://www.coupang.com/vp/products/9167018074?itemId=27010836327&vendorItemId=93979499370&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=31&rank=31,
장우산,32,[도매라인]*고급 빅사이즈장우산 150cm/골프우산/대형우산/접이식우산/2단우산/자동우산/판촉물/사은품,"10,400원","3,000원",,모레(금) 도착 예정,Y,2,230원,,https://www.coupang.com/vp/products/8951855868?itemId=26186668412&vendorItemId=93829797632&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=32&rank=32,
장우산,33,바이시유 1+1 장마철 필수템 자동 원터치 우산 16살대 빗물받이 캡커버 자동 자바라 장우산,"26,900원","18,900원",,모레(금) 도착 예정,Y,56,945원,,https://www.coupang.com/vp/products/8791732852?itemId=25589675437&vendorItemId=92580493534&q=장우산&searchId=ea0ebc715320226&sourceType=search&itemsCount=36&searchRank=33&rank=33,
장우산,,공유 소프트 16K 튼튼한 자동 대형 장우산,"17,800원","8,900원",로켓배송,내일(목) 도착 보장,Y,258,445원,,https://www.coupang.com/vp/products/8643052739?itemId=25084542069&vendorItemId=92135795340&sourceType=srp_product_ads&clickEventId=054937d0-bfac-11f0-9f92-c9b685a67e73&korePlacement=15&koreSubPlacement=37&clickEventId=054937d0-bfac-11f0-9f92-c9b685a67e73&korePlacement=15&koreSubPlacement=37,
장우산,,공유 소프트 16K 튼튼한 자동 대형 장우산,"17,800원","8,900원",로켓배송,내일(목) 도착 보장,Y,258,445원,,https://www.coupang.com/vp/products/8643052739?itemId=25084542066&vendorItemId=92135795386&sourceType=srp_product_ads&clickEventId=05495ee0-bfac-11f0-9741-ff8ddf26572a&korePlacement=15&koreSubPlacement=38&clickEventId=05495ee0-bfac-11f0-9741-ff8ddf26572a&korePlacement=15&koreSubPlacement=38,
스카프,,사켓 여성 고급 야외 선물용 스카프,"25,000원","9,200원",판매자로켓,내일(목) 도착 보장,N,33,460원,,https://www.coupang.com/vp/products/8922073173?itemId=26073521124&vendorItemId=93054552505&sourceType=srp_product_ads&clickEventId=05d439c0-bfac-11f0-8a7e-e21b83d04aa6&korePlacement=15&koreSubPlacement=1&clickEventId=05d439c0-bfac-11f0-8a7e-e21b83d04aa6&korePlacement=15&koreSubPlacement=1,
